metric,pcsfour,pcseight,pcstwelve,bipca_umap2d
AUROC (all genes; $-\log_{10} p$),0.940 $\pm$ 0.013,0.978 $\pm$ 0.005,0.969 $\pm$ 0.009,0.985 $\pm$ 0.007
Spearman rho (top 200),0.876 $\pm$ 0.036,0.832 $\pm$ 0.047,0.754 $\pm$ 0.065,0.921 $\pm$ 0.024
Spearman rho (top 500),0.748 $\pm$ 0.053,0.792 $\pm$ 0.012,0.709 $\pm$ 0.025,0.874 $\pm$ 0.046
Jaccard overlap (significant genes),0.773 $\pm$ 0.036,0.743 $\pm$ 0.026,0.769 $\pm$ 0.018,0.829 $\pm$ 0.040
